imdb_title_id,original_title,year,genre,duration,language,production_company,avg_vote,votes,budget,Good_or_Bad_Movie
tt5206770,Among the Shadows,2019,"Action, Crime, Drama",96,English,Nomenclature Film,2.1,724,23000000,0
tt6954136,Prescience,2019,"Romance, Thriller",90,"English, Spanish",Latinx Productions,3.6,199,500000,0
tt5697722,American Criminal,2019,Thriller,100,English,Justice for All Productions,6.5,330,1500000,0
tt1489887,Booksmart,2019,Comedy,102,"English, Mandarin, Spanish",Annapurna Pictures,7.2,84858,6000000,1
tt5351576,Howlers,2019,"Action, Horror, Western",92,English,Copper Kid Productions,4.8,335,21000000,0
tt5503686,Hustlers,2019,"Comedy, Crime, Drama",110,"English, Russian",Annapurna Pictures,6.3,76903,20000000,0
tt6146586,John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",130,"English, Russian, Japanese, Indonesian, Mandarin, Italian, Arabic, Latin",Lionsgate,7.5,258107,75000000,1
tt5702314,Dance Night Obsession,2019,Thriller,94,English,Creative Arts Entertainment Group Inc.,3.9,127,1500000,0
tt6803212,Don't Let Go,2019,"Drama, Horror, Mystery",103,English,Blumhouse Productions,6.2,4585,5000000,0
tt6079516,I See You,2019,"Crime, Drama, Horror",98,English,Head Gear Films,6.8,20948,3000000,0
tt6189022,Angel Has Fallen,2019,"Action, Thriller",121,English,Millennium Films,6.4,72741,40000000,0
tt6320628,Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",129,"English, Italian, Czech",Columbia Pictures,7.5,304708,160000000,1
tt6032328,Finding Steve McQueen,2019,"Crime, Romance",91,English,AMBI Group,6.2,3605,7000000,0
tt6023242,Obsession,2019,Thriller,90,English,Mutressa Movies,4.9,338,5000000,0
tt6423362,The Sun Is Also a Star,2019,"Drama, Music, Romance",100,"English, Korean",Alloy Entertainment,5.8,5569,9000000,0
tt5968394,Captive State,2019,"Action, Adventure, Drama",109,English,DreamWorks,6.0,46043,25000000,0
tt6472976,Five Feet Apart,2019,"Drama, Romance",116,"English, French",CBS Films,7.2,38320,7000000,1
tt4807408,The Best of Enemies,2019,"Biography, Drama, History",133,English,Astute Films,7.1,8251,10000000,1
tt6521876,Jay and Silent Bob Reboot,2019,Comedy,105,English,Destro Films,5.7,17551,10000000,0
tt6535880,Haunt,2019,"Horror, Thriller",92,English,Beck Woods,6.3,16775,5000000,0
tt6547786,Life Like,2019,"Sci-Fi, Thriller",95,English,Lionsgate,5.4,1644,1500000,0
tt5956016,Stay Out Stay Alive,2019,"Horror, Thriller",85,English,Brainstorm Motion Pictures,4.0,684,1000000,0
tt5834278,The Directive,2019,"Action, Adventure, Comedy",113,English,Future of Film Productions,4.4,646,1600,0
tt5814534,Spies in Disguise,2019,"Animation, Action, Adventure",102,"English, Japanese",Blue Sky Studios,6.8,27906,100000000,0
tt6619188,The Favorite,2019,Drama,108,English,Lightbearer Films,5.5,335,630000,0
tt5774054,Dolphin Kick,2019,Adventure,89,English,Aristar Entertainment,4.4,240,200000,0
tt6659936,Every Time I Die,2019,Thriller,98,English,MiLa Media,5.1,858,1000000,0
tt6107548,Late Night,2019,"Comedy, Drama",102,English,3 Arts Entertainment,6.5,26125,4000000,0
tt5727208,Uncut Gems,2019,"Crime, Drama, Thriller",135,"English, Hebrew",A24,7.4,199124,19000000,1
tt6735740,Love in Kilnerry,2019,Comedy,100,English,Archway Pictures,9.3,1239,3000000,1
tt9860860,Abduction 101,2019,Horror,77,English,Seven Light,2.3,174,500000,0
tt4730638,By Light of Desert Night,2019,Drama,94,English,Canyon Media,5.4,541,3000000,0
tt10255374,Munchausen by Internet,2019,Thriller,86,English,Feifer Worldwide,4.2,110,1000000,0
tt11161374,Beyond the Law,2019,"Action, Crime",89,English,BondIt Media Capital,4.3,830,7000000,0
tt2257284,Line of Descent,2019,"Crime, Drama",108,"Hindi, English",Brillstein Entertainment Partners,4.7,376,5000000,0
tt11029976,Inside the Rain,2019,"Comedy, Drama, Romance",90,English,Act 13,4.5,153,1000000,0
tt10955148,Rising Free,2019,"Drama, History",102,English,LightFall Motion Picture Group,6.3,566,100000,0
tt10772304,Texas Death Trippin',2019,"Comedy, Horror",62,English,Crude Cinema,2.3,101,20000,0
tt10628006,Happy Endings Sleepover,2019,Drama,100,"Danish, English",Wolf Puppy FIlms,5.2,240,1750000,0
tt10612148,Empty Spaces,2019,Drama,104,English,,7.5,156,3000,1
tt10608842,Urban Fears,2019,"Comedy, Horror",70,English,,4.7,256,1000,0
tt10559412,A Brother's Honor,2019,Romance,86,English,Passionflix,5.6,196,700000,0
tt10521814,K-12,2019,"Fantasy, Horror, Musical",96,English,Atlantic Records,6.3,2195,5000000,0
tt10319676,Termination,2019,"Action, Horror, Sci-Fi",95,English,Cloud Walkers Entertainment,2.6,106,15000,0
tt10255320,Deviant Love,2019,Thriller,87,English,Feifer Worldwide,3.5,293,1000000,0
